Fund_Name,Category,AMC,Risk_Level,Rating,Return_1Y,Return_3Y,Return_5Y,Expense_Ratio,Min_SIP,Volatility
Mirae Asset Short Duration Fund - Regular Plan 0,Debt - Short Duration,Mirae Asset,Moderate,4,11.21,8.54,9.41,1.1,500,0.029
Kotak Large Cap Fund - Regular Plan 1,Equity - Large Cap,Kotak,Moderately High,4,23.43,20.26,19.49,0.77,1000,0.209
Nippon India Mid Cap Fund - Regular Plan 2,Equity - Mid Cap,Nippon India,High,4,13.03,16.0,15.52,0.66,1000,0.161
Tata Short Duration Fund - Regular Plan 3,Debt - Short Duration,Tata,Moderate,3,5.69,7.16,5.19,0.87,100,0.049
Parag Parikh Small Cap Fund - Regular Plan 4,Equity - Small Cap,Parag Parikh,Very High,4,14.32,14.85,16.75,0.4,1000,0.198
Quant Balanced Advantage Fund - Regular Plan 5,Hybrid - Balanced Advantage,Quant,High,4,11.8,13.61,14.36,0.92,100,0.123
Kotak Balanced Advantage Fund - Regular Plan 6,Hybrid - Balanced Advantage,Kotak,High,4,14.44,16.19,14.34,1.17,1000,0.103
DSP Small Cap Fund - Regular Plan 7,Equity - Small Cap,DSP,Very High,5,18.79,19.06,20.69,1.36,100,0.169
DSP Balanced Advantage Fund - Regular Plan 8,Hybrid - Balanced Advantage,DSP,High,5,17.5,11.29,13.15,0.65,100,0.092
HDFC Large Cap Fund - Regular Plan 9,Equity - Large Cap,HDFC,Moderately High,4,25.74,21.05,24.4,1.19,500,0.19
UTI Corporate Bond Fund - Regular Plan 10,Debt - Corporate Bond,UTI,Moderate,5,5.72,8.06,8.51,0.56,500,0.036
Mirae Asset Corporate Bond Fund - Regular Plan 11,Debt - Corporate Bond,Mirae Asset,Moderate,4,2.14,6.25,7.29,0.4,500,0.03
Nippon India Mid Cap Fund - Regular Plan 12,Equity - Mid Cap,Nippon India,High,4,18.04,19.05,19.83,1.28,1000,0.159
SBI Mid Cap Fund - Regular Plan 13,Equity - Mid Cap,SBI,High,5,21.81,18.42,19.15,0.6,500,0.156
ICICI Prudential Gilt Fund - Regular Plan 14,Debt - Gilt,ICICI Prudential,Moderate,3,2.02,4.49,5.92,0.63,500,0.043
HDFC Short Duration Fund - Regular Plan 15,Debt - Short Duration,HDFC,Moderate,5,5.84,4.7,5.06,0.15,500,0.043
Parag Parikh Mid Cap Fund - Regular Plan 16,Equity - Mid Cap,Parag Parikh,High,3,20.54,19.04,21.98,1.09,500,0.207
UTI Gilt Fund - Regular Plan 17,Debt - Gilt,UTI,Moderate,5,9.57,10.28,6.93,0.86,1000,0.027
HDFC Short Duration Fund - Regular Plan 18,Debt - Short Duration,HDFC,Moderate,4,8.06,6.26,4.65,0.45,100,0.042
Tata Aggressive Fund - Regular Plan 19,Hybrid - Aggressive,Tata,High,4,11.38,13.03,12.68,1.25,100,0.093
UTI Large Cap Fund - Regular Plan 20,Equity - Large Cap,UTI,Moderately High,5,13.32,15.73,14.84,0.37,1000,0.23
Parag Parikh Small Cap Fund - Regular Plan 21,Equity - Small Cap,Parag Parikh,Very High,5,18.64,16.91,17.32,0.52,1000,0.207
UTI Short Duration Fund - Regular Plan 22,Debt - Short Duration,UTI,Moderate,4,8.72,8.88,7.49,1.02,500,0.028
Tata Aggressive Fund - Regular Plan 23,Hybrid - Aggressive,Tata,High,5,12.93,13.05,10.73,0.57,1000,0.101
UTI Flexi Cap Fund - Regular Plan 24,Equity - Flexi Cap,UTI,Moderately High,5,13.08,12.18,14.63,0.75,1000,0.171
Tata Mid Cap Fund - Regular Plan 25,Equity - Mid Cap,Tata,High,5,21.49,18.75,21.24,0.14,100,0.16
